log,iac_category,fault_category
"TASK [Write environment variables] ******************************************************
changed: [web-frontend-us-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [storage-block-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [web-node-03]",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Install pip requirements] ******************************************************
changed: [kube-node-staging-01]
failed: [kube-node-staging-01] (item=consul) => {""changed"": false, ""msg"": ""Could not find a version that satisfies the requirement molecule"", ""ansible_loop_var"": ""item"", ""item"": ""cassandra""}",Dependency,Dependency-related Faults
"TASK [Drain Kafka consumer offsets] ******************************************************
ok: [db-mongo-shard-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [db-srv-main-01]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [storage-nfs-srv] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [app-k3s-worker-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Override defaults] ******************************************************
ok: [storage-block-01]
ERROR! vars file 'roles/common/vars/main.yml' is not a valid YAML dictionary; expected mapping at top level

The error appears to be in 'roles/app/templates/app.conf.j2': line 39, column 6",Configuration Data,Typos
"TASK [Ensure log directory exists] ******************************************************
ok: [storage-nfs-srv]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [lb-external-ingress] => {""changed"": false}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [web-frontend-us-01]",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [vault-server-01]",SUCCESS,NONE
"TASK [Write prometheus scrape config] ******************************************************
changed: [kube-node-staging-01]

TASK [Reload alertmanager] ******************************************************
ok: [kube-node-staging-01]
TASK [Synchronise NTP] ******************************************************
fatal: [kube-node-staging-01]: FAILED! => {""changed"": false, ""msg"": ""YAML anchor '&oauth_client_id' referenced before definition in template roles/common/tasks/main.yml"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""vault"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Ensure log directory exists] ******************************************************
ok: [app-k3s-worker-02]",SUCCESS,NONE
"TASK [Set cluster advertise address] ******************************************************
ok: [storage-ceph-osd-01]

TASK [Bootstrap etcd] ******************************************************
ok: [storage-ceph-osd-01]
TASK [Create system group] ******************************************************
fatal: [storage-ceph-osd-01]: FAILED! => {""changed"": false, ""msg"": ""IPv6 address 'smtp_password' used where IPv4 is required by module parameter 'bind_addr'"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""haproxy"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Validate JSON config payload] ******************************************************
changed: [app-k3s-worker-02]

TASK [Push to API] ******************************************************
changed: [app-k3s-worker-02]
TASK [Load role-specific variables] ******************************************************
fatal: [app-k3s-worker-02]: FAILED! => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 12 in field 'ssl_cert_cn'"", ""rc"": 1, ""invocation"": {""module_args"": {""name"": ""fluentd"", ""state"": ""started""}}}",Configuration Data,Typos
"TASK [Configure load balancer backend] ******************************************************
ok: [storage-ceph-osd-01]

TASK [Validate upstream health] ******************************************************
ok: [storage-ceph-osd-01]
failed: [storage-ceph-osd-01] (item=jaeger) => {""changed"": false, ""msg"": ""Upstream storage-ceph-osd-01:3000 returned HTTP 1; backend removed from rotation"", ""ansible_loop_var"": ""item"", ""item"": ""redis""}",Service,State Mismanagement
"TASK [Create application directory] ******************************************************
changed: [redis-cache-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [app-k3s-worker-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [kube-node-staging-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [vault-server-01]",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [web-frontend-eu-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [vault-server-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [monitor-prometheus-01]",SUCCESS,NONE
"TASK [Load role-specific variables] ******************************************************
ok: [web-node-03] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate IP block range] ******************************************************
changed: [lb-internal-mesh]
TASK [Create tmpfs mount] ******************************************************
fatal: [lb-internal-mesh]: FAILED! => {""changed"": false, ""msg"": ""Expected a valid CIDR string for key 'network_cidr'; received: 'registry_url'"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""grafana"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Pull container image] ******************************************************
changed: [redis-cache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [app-k3s-worker-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [monitor-loki-01]",SUCCESS,NONE
"TASK [Write database DSN to environment] ******************************************************
changed: [gitlab-runner-02]

TASK [Restart application] ******************************************************
changed: [gitlab-runner-02]
TASK [Update apt package cache] ******************************************************
fatal: [gitlab-runner-02]: FAILED! => {""changed"": false, ""msg"": ""Destination file roles/security/tasks/firewall.yml does not exist and create=false; no changes made"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""cassandra"", ""state"": ""started""}}}",Configuration Data,State Mismanagement
"TASK [Check service registration] ******************************************************
ok: [vault-server-01]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [web-frontend-eu-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Ensure rsyslog is running] ******************************************************
changed: [kube-node-staging-01]

TASK [Configure remote logging] ******************************************************
ok: [kube-node-staging-01]
TASK [Create tmpfs mount] ******************************************************
fatal: [kube-node-staging-01]: FAILED! => {""changed"": false, ""msg"": ""rsyslog.service masked; cannot start masked unit"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""kibana"", ""state"": ""started""}}}",Service,State Mismanagement
"TASK [Load role-specific variables] ******************************************************
ok: [api-gateway-node-03]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [ci-runner-deploy-01]",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Validate network interface] ******************************************************
ok: [monitor-loki-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Validate README structure] ******************************************************
changed: [monitor-loki-01]

TASK [Check example playbook] ******************************************************
ok: [monitor-loki-01]
ERROR! README.md references variable 'admin_token' not declared in defaults/main.yml",Documentation,Variable Misreference
"TASK [Push to API] ******************************************************
changed: [ingress-traefik-prod]
TASK [Verify target directory exists] ******************************************************
fatal: [ingress-traefik-prod]: FAILED! => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 6 in field 'db_password'"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""jaeger"", ""state"": ""started""}}}",Configuration Data,Typos
"TASK [Write config to target] ******************************************************
ok: [web-node-03]
ERROR! AnsibleUndefinedVariable: 'api_endpoint' is undefined — verify group_vars/host_vars",Configuration Data,Variable Misreference
"TASK [Validate network interface] ******************************************************
ok: [ci-runner-build-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [lb-external-ingress]",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [db-srv-replica-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Push to API] ******************************************************
ok: [web-node-03]
TASK [Verify cluster quorum] ******************************************************
fatal: [web-node-03]: FAILED! => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 5 in field 'kubeconfig_path'"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""cassandra"", ""state"": ""started""}}}",Configuration Data,Typos
"TASK [Load role-specific variables] ******************************************************
ok: [web-node-04] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [storage-block-01]",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [kube-node-prod-02]",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [redis-cache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Clone application repository] ******************************************************
ok: [api-gateway-node-02]

TASK [Checkout release branch] ******************************************************
changed: [api-gateway-node-02]
TASK [Update apt package cache] ******************************************************
fatal: [api-gateway-node-02]: FAILED! => {""changed"": false, ""msg"": ""Failed to resolve remote ref 'replica_count' \u2014 branch or tag may not exist"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""mongodb"", ""state"": ""started""}}}",Dependency,Variable Misreference
"TASK [Write environment variables] ******************************************************
changed: [gitlab-runner-02]",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [vault-server-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check disk free space] ******************************************************
ok: [db-srv-main-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Configure load balancer backend] ******************************************************
ok: [storage-block-01]

TASK [Validate upstream health] ******************************************************
changed: [storage-block-01]
failed: [storage-block-01] (item=etcd) => {""changed"": false, ""msg"": ""Upstream storage-block-01:9100 returned HTTP 2; backend removed from rotation"", ""ansible_loop_var"": ""item"", ""item"": ""fluentd""}",Service,State Mismanagement
"TASK [Write database DSN to environment] ******************************************************
changed: [redis-cache-02]

TASK [Restart application] ******************************************************
changed: [redis-cache-02]
TASK [Install required Python packages] ******************************************************
fatal: [redis-cache-02]: FAILED! => {""changed"": false, ""msg"": ""Destination file roles/db/tasks/secure.yml does not exist and create=false; no changes made"", ""rc"": 127, ""invocation"": {""module_args"": {""name"": ""redis"", ""state"": ""started""}}}",Configuration Data,State Mismanagement
"TASK [Check service registration] ******************************************************
ok: [storage-block-01]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [bastion-host-prod]",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [kube-node-prod-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [ci-runner-build-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [redis-cache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [redis-cache-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [ingress-nginx-01]",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [redis-cache-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [app-k3s-worker-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [monitor-alertmanager-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [lb-external-ingress]",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [monitor-prometheus-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set file ownership] ******************************************************
ok: [jenkins-agent-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [db-srv-replica-01]",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [jenkins-agent-01]",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [gitlab-runner-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Create tmpfs mount] ******************************************************
changed: [memcache-01]",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [web-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [kube-node-prod-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [storage-nas] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [app-k3s-worker-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Pull container image] ******************************************************
changed: [storage-nfs-srv] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Register node in inventory] ******************************************************
changed: [storage-nfs-srv] => {""changed"": false}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [web-node-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Bootstrap etcd] ******************************************************
ok: [db-mongo-shard-01]
TASK [Run pre-flight health checks] ******************************************************
fatal: [db-mongo-shard-01]: FAILED! => {""changed"": false, ""msg"": ""IPv6 address 'prometheus_scrape_interval' used where IPv4 is required by module parameter 'bind_addr'"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""logrotate"", ""state"": ""started""}}}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Pull container image] ******************************************************
changed: [bastion-host-prod] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [monitor-alertmanager-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [kube-node-prod-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [storage-ceph-osd-01]",SUCCESS,NONE
"TASK [Install required Python packages] ******************************************************
changed: [vault-server-02]",SUCCESS,NONE
"TASK [Install apt package] ******************************************************
ok: [ingress-nginx-01]

TASK [Pin version] ******************************************************
ok: [ingress-nginx-01]
TASK [Validate TLS certificate expiry] ******************************************************
fatal: [ingress-nginx-01]: FAILED! => {""changed"": false, ""msg"": ""dpkg was interrupted; run 'dpkg --configure -a' to correct the problem"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""nginx"", ""state"": ""started""}}}",Service,State Mismanagement
"TASK [Configure firewall rules] ******************************************************
changed: [app-k3s-worker-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [redis-cache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [db-srv-replica-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
changed: [web-node-03]

TASK [Validate group membership] ******************************************************
changed: [web-node-03]
ERROR! No hosts matched pattern 'node_labels' in inventory — check group name spelling",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Check disk free space] ******************************************************
ok: [web-frontend-eu-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [app-k3s-worker-05] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [storage-nfs-srv] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure rsyslog forwarding] ******************************************************
changed: [ci-runner-deploy-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Gathering Facts] ******************************************************
ok: [ci-runner-deploy-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [redis-cache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Parse playbook structure] ******************************************************
changed: [app-k3s-worker-02]
ERROR! Syntax error in roles/common/vars/main.yml at line 26, col 1: mapping values are not allowed here

The error appears to have been in 'roles/db/tasks/initialize.yml': line 44, column 2, but may
be elsewhere in the file depending on the exact syntax problem.",Syntax,Typos
"TASK [Create system group] ******************************************************
changed: [db-srv-main-01]",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [storage-nas] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [storage-ceph-osd-01]",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [kube-node-prod-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Evaluate module argument spec] ******************************************************
ok: [db-mongo-shard-01]
ERROR! Unsupported parameter for module 'ansible.builtin.command': 'replica_count'. Supported params: name, state, enabled

The error appears to have been in 'playbooks/provision-infra.yml': line 136, column 10, but may
be elsewhere in the file depending on the exact syntax problem.",Syntax,Typos
"TASK [Update apt package cache] ******************************************************
changed: [kube-node-staging-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Create system group] ******************************************************
changed: [bastion-host-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [ingress-traefik-prod]",SUCCESS,NONE
"TASK [Pull container image] ******************************************************
changed: [app-k3s-worker-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Copy configuration template] ******************************************************
changed: [lb-external-ingress]",SUCCESS,NONE
"TASK [Synchronise NTP] ******************************************************
ok: [app-k3s-worker-03]",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [ci-runner-deploy-01]",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [memcache-01]",SUCCESS,NONE
"TASK [Ensure base packages are present] ******************************************************
ok: [monitor-loki-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [db-srv-main-01]",SUCCESS,NONE
"TASK [Evaluate module argument spec] ******************************************************
changed: [web-node-01]
ERROR! Unsupported parameter for module 'community.general.ini_file': 'tls_cert_path'. Supported params: name, state, enabled",Syntax,Typos
"TASK [Update apt package cache] ******************************************************
changed: [storage-ceph-osd-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Apply Kubernetes manifests] ******************************************************
changed: [app-k3s-worker-05] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Set up Python virtualenv] ******************************************************
ok: [bastion-host-prod]

TASK [Install pip requirements] ******************************************************
changed: [bastion-host-prod]
TASK [Rotate log files] ******************************************************
fatal: [bastion-host-prod]: FAILED! => {""changed"": false, ""msg"": ""Could not find a version that satisfies the requirement azure-mgmt-compute"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""kafka"", ""state"": ""started""}}}",Dependency,Dependency-related Faults
"TASK [Update apt package cache] ******************************************************
changed: [db-srv-replica-02]",SUCCESS,NONE
"TASK [Populate inventory from CMDB] ******************************************************
ok: [web-node-02]

TASK [Validate group membership] ******************************************************
ok: [web-node-02]
ERROR! No hosts matched pattern 'prometheus_scrape_interval' in inventory — check group name spelling",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Install required Python packages] ******************************************************
changed: [gitlab-runner-02]",SUCCESS,NONE
"TASK [Validate JSON config payload] ******************************************************
changed: [redis-cache-02]

TASK [Push to API] ******************************************************
ok: [redis-cache-02]
failed: [redis-cache-02] (item=logrotate) => {""changed"": false, ""msg"": ""JSON body parse error: unexpected token at position 13 in field 'vault_addr'"", ""ansible_loop_var"": ""item"", ""item"": ""consul""}",Configuration Data,Typos
"TASK [Verify target directory exists] ******************************************************
ok: [bastion-host-prod]",SUCCESS,NONE
"TASK [Run pre-flight health checks] ******************************************************
ok: [ci-runner-build-01]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [web-frontend-eu-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Write environment variables] ******************************************************
changed: [vault-server-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Assert semantic version format] ******************************************************
changed: [lb-external-ingress]
ERROR! Version string 'retention_days' in CHANGELOG does not follow SemVer; release pipeline blocked",Documentation,Typos
"TASK [Rotate log files] ******************************************************
changed: [db-postgres-primary] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [kube-node-prod-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [kube-node-prod-01]",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [redis-cache-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [vault-server-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [kube-node-prod-02] => {""changed"": false}",SUCCESS,NONE
"TASK [Update apt cache] ******************************************************
changed: [storage-nfs-srv]

TASK [Install runtime dependencies] ******************************************************
changed: [storage-nfs-srv]
TASK [Write environment variables] ******************************************************
fatal: [storage-nfs-srv]: FAILED! => {""changed"": false, ""msg"": ""Package 'python3-psutil' has no installation candidate in the current apt sources"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""envoy"", ""state"": ""started""}}}",Dependency,Dependency-related Faults
"TASK [Verify cluster quorum] ******************************************************
ok: [lb-haproxy] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Check service registration] ******************************************************
ok: [memcache-01]",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [lb-internal-mesh] => {""changed"": false}",SUCCESS,NONE
"TASK [Update apt cache] ******************************************************
ok: [lb-external-ingress]

TASK [Install runtime dependencies] ******************************************************
changed: [lb-external-ingress]
TASK [Gathering Facts] ******************************************************
fatal: [lb-external-ingress]: FAILED! => {""changed"": false, ""msg"": ""Package 'requests-kerberos' has no installation candidate in the current apt sources"", ""rc"": 2, ""invocation"": {""module_args"": {""name"": ""nginx"", ""state"": ""started""}}}",Dependency,Dependency-related Faults
"TASK [Install required Python packages] ******************************************************
changed: [web-node-04]",SUCCESS,NONE
"TASK [Pull container image] ******************************************************
changed: [db-mongo-shard-01]",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [app-k3s-worker-05] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [vault-server-02]",SUCCESS,NONE
"TASK [Rotate log files] ******************************************************
changed: [redis-cache-02]",SUCCESS,NONE
"TASK [Pull container image] ******************************************************
changed: [redis-cache-02]",SUCCESS,NONE
"TASK [Write nginx upstream config] ******************************************************
changed: [vault-server-02]

TASK [Reload service] ******************************************************
ok: [vault-server-02]
TASK [Check service registration] ******************************************************
fatal: [vault-server-02]: FAILED! => {""changed"": false, ""msg"": ""Template rendering failed: recursive variable reference detected at 's3_bucket_name'"", ""rc"": 255, ""invocation"": {""module_args"": {""name"": ""rabbitmq"", ""state"": ""started""}}}",Configuration Data,Variable Misreference
"TASK [Verify target directory exists] ******************************************************
ok: [api-gateway-node-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Ping target hosts] ******************************************************
ok: [lb-internal-mesh] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Register node in inventory] ******************************************************
changed: [api-gateway-node-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [db-srv-main-01]",SUCCESS,NONE
"TASK [Ensure log directory exists] ******************************************************
ok: [kube-node-prod-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Reload systemd unit files] ******************************************************
changed: [web-node-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify target directory exists] ******************************************************
ok: [app-k3s-worker-02]",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [monitor-prometheus-01] => {""changed"": false}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [db-srv-main-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Parse host pattern expression] ******************************************************
ok: [lb-haproxy]
ERROR! Invalid host pattern 'chart_version': range syntax requires two integers separated by ':'",Syntax,Typos
"TASK [Create system group] ******************************************************
changed: [bastion-host-prod] => {""changed"": false}",SUCCESS,NONE
"TASK [Verify cluster quorum] ******************************************************
ok: [redis-cache-02]",SUCCESS,NONE
"TASK [Check port binding] ******************************************************
changed: [app-k3s-worker-04]
failed: [app-k3s-worker-04] (item=zookeeper) => {""changed"": false, ""msg"": ""Timeout waiting for port 6380/tcp to become reachable on app-k3s-worker-04"", ""ansible_loop_var"": ""item"", ""item"": ""nginx""}",Service,State Mismanagement
"TASK [Verify target directory exists] ******************************************************
ok: [redis-cache-02]",SUCCESS,NONE
"TASK [Restart application] ******************************************************
ok: [db-srv-replica-01]
TASK [Ping target hosts] ******************************************************
fatal: [db-srv-replica-01]: FAILED! => {""changed"": false, ""msg"": ""Destination file group_vars/dbservers.yml does not exist and create=false; no changes made"", ""rc"": 126, ""invocation"": {""module_args"": {""name"": ""node-exporter"", ""state"": ""started""}}}",Configuration Data,State Mismanagement
"TASK [Install required Python packages] ******************************************************
changed: [app-k3s-worker-01]",SUCCESS,NONE
"TASK [Update apt package cache] ******************************************************
changed: [app-k3s-worker-03] => {""changed"": false}",SUCCESS,NONE
"TASK [Snapshot volume before migration] ******************************************************
changed: [storage-ceph-osd-01]",SUCCESS,NONE
"TASK [Clone application repository] ******************************************************
changed: [monitor-grafana-01]

TASK [Checkout release branch] ******************************************************
changed: [monitor-grafana-01]
failed: [monitor-grafana-01] (item=mysql) => {""changed"": false, ""msg"": ""Failed to resolve remote ref 'image_tag' \u2014 branch or tag may not exist"", ""ansible_loop_var"": ""item"", ""item"": ""logstash""}",Dependency,Variable Misreference
"TASK [Flush privileges] ******************************************************
ok: [db-srv-replica-02]
failed: [db-srv-replica-02] (item=fluentd) => {""changed"": false, ""msg"": ""Variable 'max_connections' rejected: value 443 exceeds compiled-in limit"", ""ansible_loop_var"": ""item"", ""item"": ""mysql""}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Set MySQL bind address] ******************************************************
changed: [kube-node-prod-01]

TASK [Flush privileges] ******************************************************
ok: [kube-node-prod-01]
failed: [kube-node-prod-01] (item=k3s) => {""changed"": false, ""msg"": ""Variable 'max_connections' rejected: value 8080 exceeds compiled-in limit"", ""ansible_loop_var"": ""item"", ""item"": ""traefik""}",Configuration Data,Incorrect Detection/Analysis of User Input
"TASK [Create application directory] ******************************************************
changed: [lb-external-ingress] => {""changed"": false}",SUCCESS,NONE
"TASK [Reload service] ******************************************************
changed: [db-srv-replica-02]
ERROR! Template rendering failed: recursive variable reference detected at 'image_tag'

The error appears to be in 'roles/db/templates/pg_hba.conf.j2': line 238, column 6",Configuration Data,Variable Misreference
"TASK [Ensure base packages are present] ******************************************************
ok: [app-k3s-worker-04] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Flush pending handlers] ******************************************************
ok: [kube-node-prod-02] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Validate galaxy dependencies] ******************************************************
changed: [vault-server-02]
ERROR! Role 'k3s' listed in meta/main.yml not found in configured roles_path

The error appears to be in 'group_vars/dbservers.yml': line 191, column 3",Documentation,Dependency-related Faults
"TASK [Snapshot volume before migration] ******************************************************
changed: [kube-node-staging-01] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Configure firewall rules] ******************************************************
changed: [web-node-04] => {""changed"": true, ""rc"": 0}",SUCCESS,NONE
"TASK [Deploy SSL certificate] ******************************************************
changed: [ci-runner-build-01]",SUCCESS,NONE
